name,brief description,proximity,fulladdress,street address,city,state,zip code,phone number,web site,hours of operation,intake,fee,features,detailed description,eligibility,application procedure,required documents,age restriction,languages,borough,branch page,branch history page,lon,lat
Countee Cullen Library,Manhattan branch of the New York Public Library system.,,"104 West 136th Street, NEW YORK, NY, 10030",104 West 136th Street,NEW YORK,NY,10030,(212) 491-2070,http://www.nypl.org,Mon - Thu: 10:00 AM - 8:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,"Adult Literacy, Early Childhood Discussions, Senior Programs",,,,,,,manhattan,https://www.nypl.org/locations/countee-cullen,https://www.nypl.org/about/locations/countee-cullen,-73.941063,40.814963
Court Square Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"25-01 Jackson Avenue, LONG ISLAND CITY, NY, 11101",25-01 Jackson Avenue,LONG ISLAND CITY,NY,11101,(718) 937-2790,http://www.queenslibrary.org,Mon: 12:00 PM - 7:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 7:00 PM; Fri: 10:00 AM - 6:00 PM;,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.9364,40.753453
Crown Heights Library,Crown Heights branch of the Brooklyn Public Library system.,,"560 New York Avenue, BROOKLYN, NY, 11225",560 New York Avenue,BROOKLYN,NY,11225,(718) 773-1180,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 1:00 PM - 8:00 PM; Wed: 10:00 AM - 8:00 PM; Thu - Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,Computers,,,,,,,brooklyn,http://www.bklynlibrary.org/locations/crown-heights,http://www.bklynlibrary.org/locations/crown-heights/history,-73.947939,40.661212
Cypress Hills Library,Cypress Hills branch of the Brooklyn Public Library system.,,"1197 Sutter Avenue, BROOKLYN, NY, 11208",1197 Sutter Avenue,BROOKLYN,NY,11208,(718) 277-6004,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 1:00 PM - 8:00 PM; Wed: 10;00 AM - 8:00 PM; Thu - Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,Computers,,,,,,,brooklyn,http://www.bklynlibrary.org/locations/cypress-hills,http://www.bklynlibrary.org/locations/cypress-hills/history,-73.87401,40.672603
DeKalb Library,DeKalb branch of the Brooklyn Public Library system.,,"790 Bushwick Avenue, BROOKLYN, NY, 11221",790 Bushwick Avenue,BROOKLYN,NY,11221,(718) 455-3898,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 10:00 AM - 8:00 PM; Wed: 1:00 PM - 8:00 PM; Thu - Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Adult Literacy, Computers",,,,,,,brooklyn,http://www.bklynlibrary.org/locations/dekalb,http://www.bklynlibrary.org/locations/dekalb/history,-73.928342,40.694877
Dongan Hills Library,Staten Island branch of the New York Public Library system. ,,"1617 Richmond Road, STATEN ISLAND, NY, 10304",1617 Richmond Road,STATEN ISLAND,NY,10304,(718) 351-1444,http://www.nypl.org,Mon - Thu: 11:00 PM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,"Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,staten island,https://www.nypl.org/locations/dongan-hills,https://www.nypl.org/about/locations/dongan-hills,-74.101039,40.590398
Donnell Library Center,Manhattan - Central Branch  of the New York Public Library system.,,"20 West 53rd Street, NEW YORK, NY, 10019",20 West 53rd Street,NEW YORK,NY,10019,,http://www.nypl.org,"As of August 30, 2008, this library is closed.",,,"Computers, Early Childhood Discussions, Poetry Readings, Senior Programs",,,,,,,manhattan,https://www.nypl.org/locations/53rd-street,https://www.nypl.org/about/locations/53rd-street,-73.977458,40.760796
Douglaston-Little Neck Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"249-01 Northern Boulevard, LITTLE NECK, NY, 11363",249-01 Northern Boulevard,LITTLE NECK,NY,11363,(718) 225-8414,http://www.queenslibrary.org,Mon: 12:00 PM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.731915,40.768311
Dyker Library,Dyker branch of the Brooklyn Public Library system.,,"8202 13th Avenue, BROOKLYN, NY, 11228",8202 13th Avenue,BROOKLYN,NY,11228,(718) 748-6261,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 10:00 AM - 8:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,Computers,,,,,,,brooklyn,http://www.bklynlibrary.org/locations/dyker,http://www.bklynlibrary.org/locations/dyker/history,-74.012016,40.616293
Early Childhood Resource and Information Center Library,Manhattan branch of the New York Public Library system.,,"66 Leroy Street, NEW YORK, NY, 10014",66 Leroy Street,NEW YORK,NY,10014,(212) 929-0815,http://www.nypl.org,Mon: 10:00 AM - 6:00 PM; Tue: 12:00 PM - 8:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 1:00 PM - 5:00 PM; Sat: 1:00 PM - 5:00 PM,,,Early Childhood Discussions,,,,,,,manhattan,,,-74.005321,40.730052
East Elmhurst Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"95-06 Astoria Boulevard, EAST ELMHURST, NY, 11369",95-06 Astoria Boulevard,EAST ELMHURST,NY,11369,(718) 424-2619,http://www.queenslibrary.org,Mon: 12:00 PM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.870276,40.762775
East Flatbush Library,East Flatbush branch of the Brooklyn Public Library system.,,"9612 Church Avenue, BROOKLYN, NY, 11212",9612 Church Avenue,BROOKLYN,NY,11212,(718) 922-0927,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 1:00 PM - 8:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 10:00 AM- 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,Computers,,,,,,,brooklyn,http://www.bklynlibrary.org/locations/east-flatbush,http://www.bklynlibrary.org/locations/east-flatbush/history,-73.914999,40.655828
East Flushing Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"196-36 Northern Boulevard, FLUSHING, NY, 11358",196-36 Northern Boulevard,FLUSHING,NY,11358,(718) 357-6643,http://www.queenslibrary.org,Mon: 12:00 PM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.833275,40.762695
Eastchester Library,Bronx branch of the New York Public Library system.,,"1385 East Gun hill Road, BRONX, NY, 10469",1385 East Gun hill Road,BRONX,NY,10469,(718) 653-3292,http://www.nypl.org,Mon - Thu: 10:00 AM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,Early Childhood Discussions,,,,,,,bronx,https://www.nypl.org/locations/eastchester,https://www.nypl.org/about/locations/eastchester,-73.845158,40.870096
Eastern Parkway Adult Learning Center Library,Eastern Parkway Adult Learning Center branch of the Brooklyn Public Library system.,,"1044 Eastern Parkway, BROOKLYN, NY, 11213",1044 Eastern Parkway,BROOKLYN,NY,11213,(718) 778-9330,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 5:00 PM; Tue: 1:00 PM - 8:00 PM; Wed: 10:00 AM - 5:00 PM; Thu: 1:00 PM - 8:00 PM; Sat: 10:00 AM - 2:00 PM,,,"Adult Literacy, Computers",,,,,,,brooklyn,,,-73.933656,40.668551
Eastern Parkway Library,Eastern Parkway branch of the Brooklyn Public Library system.,,"1044 Eastern Parkway, BROOKLYN, NY, 11213",1044 Eastern Parkway,BROOKLYN,NY,11213,(718) 953-4225,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 1:00 PM - 8:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 10:00 AM - 8:00 PM Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,Computers,,,,,,,brooklyn,http://www.bklynlibrary.org/locations/eastern-parkway,http://www.bklynlibrary.org/locations/eastern-parkway/history,-73.933656,40.668551
Edenwald Library,Bronx branch of the New York Public Library system.,,"1255 East 233rd Street, BRONX, NY, 10466",1255 East 233rd Street,BRONX,NY,10466,(718) 798-3355,http://www.nypl.org,Mon - Thu: 10:00 AM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,"Early Childhood Discussions, Senior Programs",,,,,,,bronx,https://www.nypl.org/locations/edenwald,https://www.nypl.org/about/locations/edenwald,-73.840824,40.888798
Elmhurst Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"86-01 Broadway, ELMHURST, NY, 11373",86-01 Broadway,ELMHURST,NY,11373,(718) 271-1020,http://www.queenslibrary.org,Mon: 10:00 AM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 8:00 PM; Thu: 1:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:30 PM,,,"Adult Literacy, Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.876938,40.738439
Epiphany Library,Manhattan branch of the New York Public Library system.,,"228 East 23rd Street, NEW YORK, NY, 10010",228 East 23rd Street,NEW YORK,NY,10010,(212) 679-2645,http://www.nypl.org,Mon: 12:00 PM - 7:00 PM; Tue: 10:00 AM - 6:00 PM; Wed: 12:00 PM - 7:00 PM; Thu: 10:00 AM - 6:00 PM;  Fri - Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, Senior Programs",,,,,,,manhattan,https://www.nypl.org/locations/epiphany,https://www.nypl.org/about/locations/epiphany,-73.981974,40.738166
Far Rockaway Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"1637 Central Avenue, FAR ROCKAWAY, NY, 11691",1637 Central Avenue,FAR ROCKAWAY,NY,11691,(718) 327-2549,http://www.queenslibrary.org,Mon: 9:00 AM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.750523,40.599546
Flatbush Adult Learning Center,Flatbush Adult Learning Center branch of the Brooklyn Public Library system.,,"22 Linden Boulevard, BROOKLYN, NY, 11226",22 Linden Boulevard,BROOKLYN,NY,11226,(718) 856-2631,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 5:00 PM; Tue: 1:00 PM - 8:00 PM; Wed: 10:00 AM - 5:00 PM; Thu: 1:00 PM - 8:00 PM; Sat: 10:00 AM - 2:00 PM,,,"Adult Literacy, Computers",,,,,,,brooklyn,,,-73.95824,40.652026
Flatbush Library,Flatbush branch of the Brooklyn Public Library system.,,"22 Linden Boulevard, BROOKLYN, NY, 11226",22 Linden Boulevard,BROOKLYN,NY,11226,(718) 856-0813,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 1:00 PM - 8:00 PM; Wed - Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Adult Literacy, Computers",,,,,,,brooklyn,http://www.bklynlibrary.org/locations/flatbush,http://www.bklynlibrary.org/locations/flatbush/history,-73.95824,40.652026
Flatlands Library,Flatlands branch of the Brooklyn Public Library system.,,"2065 Flatbush Avenue, BROOKLYN, NY, 11234",2065 Flatbush Avenue,BROOKLYN,NY,11234,(718) 253-4409,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 1:00 PM - 8:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions",,,,,,,brooklyn,http://www.bklynlibrary.org/locations/flatlands,http://www.bklynlibrary.org/locations/flatlands/history,-73.933389,40.619655
Flushing Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"41-17 Main Street, FLUSHING, NY, 11355",41-17 Main Street,FLUSHING,NY,11355,(718) 661-1200,http://www.queenslibrary.org,Mon - Thu: 9:00 AM - 9:00 PM; Fri: 9:00 AM - 7:00 PM; Sat: 10:00 AM - 5:00 PM; Sun: 12:00 PM - 5:00 PM,,,"Adult Literacy, Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.829118,40.757971
Forest Hills Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"108-19 71st Avenue, FOREST HILLS, NY, 11375",108-19 71st Avenue,FOREST HILLS,NY,11375,(718) 268-7934,http://www.queenslibrary.org,Mon: 9:00 AM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.843032,40.722119
Fort Hamilton Library,Fort Hamilton branch of the Brooklyn Public Library system.,,"9424 Fourth Avenue, BROOKLYN, NY, 11209",9424 Fourth Avenue,BROOKLYN,NY,11209,(718) 748-6919,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 1:00 PM - 8:00 PM; Wed: 10:00 AM - 8:00 PM; Thu: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions",,,,,,,brooklyn,www.bklynlibrary.org/locations/fort-hamilton,www.bklynlibrary.org/locations/fort-hamilton/history,-73.940748,40.638318
Fort Washington Library,Manhattan branch of the New York Public Library system.,,"535 West 179th Street, NEW YORK, NY, 10033",535 West 179th Street,NEW YORK,NY,10033,(212) 927-3533,http://www.nypl.org,Mon: 10:00 AM - 6:00 PM; Tue: 12:00 PM - 7:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,"Early Childhood Discussions, English Classes",,,,,,,manhattan,https://www.nypl.org/locations/fort-washington,https://www.nypl.org/about/locations/fort-washington,-73.933921,40.847786
Francis Martin Regional Library,Bronx branch of the New York Public Library system.,,"2150 University Avenue, BRONX, NY, 10453",2150 University Avenue,BRONX,NY,10453,(718) 295-5287,http://www.nypl.org,Mon - Thu: 10:00 AM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions",,,,,,,bronx,https://www.nypl.org/locations/francis-martin,https://www.nypl.org/about/locations/francis-martin,-73.909312,40.857455
Fresh Meadows Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"193-20 Horace Harding Expressway, FRESH MEADOWS, NY, 11365",193-20 Horace Harding Expressway,FRESH MEADOWS,NY,11365,(718) 454-7272,http://www.queenslibrary.org,Mon: 9:00 AM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.782348,40.741667
George Bruce Library,Manhattan branch of the New York Public Library system.,,"518 West 125th Street, NEW YORK, NY, 10027",518 West 125th Street,NEW YORK,NY,10027,(212) 662-9727,http://www.nypl.org,Mon: 12:00 PM - 7:00 PM; Tue: 11:00 AM - 6:00 PM; Wed: 12:00 PM - 7:00 PM; Thu: 11:00 AM - 6:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions",,,,,,,manhattan,https://www.nypl.org/locations/george-bruce,https://www.nypl.org/about/locations/george-bruce,-73.956897,40.813823
Gerritsen Beach Library,Gerritsen Beach branch of the Brooklyn Public Library system. ,,"2808 Gerritsen Avenue, BROOKLYN, NY, 11229",2808 Gerritsen Avenue,BROOKLYN,NY,11229,(718) 368-1435,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 1:00 PM - 8:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions",,,,,,,brooklyn,http://www.bklynlibrary.org/locations/gerritsen-beach,http://www.bklynlibrary.org/locations/gerritsen-beach/history,-73.923877,40.591472
Glen Oaks Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"256-04 Union Turnpike, GLEN OAKS, NY, 11104",256-04 Union Turnpike,GLEN OAKS,NY,11104,(718) 831-8636,http://www.queenslibrary.org,Mon: 12:00 PM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.686608,40.755011
Glendale Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"78-60 73rd Place, RIDGEWOOD, NY, 11385",78-60 73rd Place,RIDGEWOOD,NY,11385,(718) 821-4980,http://www.queenslibrary.org,Mon: 12:00 PM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.907482,40.706547
Grand Army Plaza Central Library,Central branch of the Brooklyn Public Library system.,,"Grand Army Plaza, BROOKLYN, NY, 11238",Grand Army Plaza,BROOKLYN,NY,11238,(718) 230-2100,http://www.brooklynpubliclibrary.org,Mon - Thu: 9:00 AM - 9:00 PM; Fri - Sat: 10:00 AM - 6:00 PM; Sun: 1:00 PM - 5:00 PM,,,"Adult Literacy, Computers, Early Childhood Discussions, English Classes, Poetry Readings",,,,,,,brooklyn,http://www.bklynlibrary.org/locations/central,http://www.bklynlibrary.org/locations/central/history,-73.968551,40.673564
Grand Central Library,Manhattan branch of the New York Public Library system.,,"135 East 46th Street, NEW YORK, NY, 10017",135 East 46th Street,NEW YORK,NY,10017,(212) 621-0670,http://www.nypl.org,Mon - Tue: 10:00 AM - 6:00 PM; Wed - Fri: 11:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,,,,,,,,manhattan,https://www.nypl.org/locations/grand-central,https://www.nypl.org/about/locations/grand-central,-73.973585,40.753847
Grand Concourse Library,Bronx branch of the New York Public Library system.,,"155 East 173rd Street, BRONX, NY, 10457",155 East 173rd Street,BRONX,NY,10457,(718) 583-6611,http://www.nypl.org,Mon: 10:00 AM - 8:00 PM; Tue: 10:00 AM - 7:00 PM; Wed: 10:00 AM -8:00 PM; Thu: 10:00 AM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM; Sun: 1:00 PM - 5:00 PM,,,Early Childhood Discussions,,,,,,,bronx,https://www.nypl.org/locations/grand-concourse,https://www.nypl.org/about/locations/grand-concourse,-73.910025,40.843904
Gravesend Library,Gravesend branch of the Brooklyn Public Library system.,,"303 Avenue X, BROOKLYN, NY, 11223",303 Avenue X,BROOKLYN,NY,11223,(718) 382-5792,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 1:00 PM - 8:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,Computers,,,,,,,brooklyn,http://www.bklynlibrary.org/locations/gravesend,http://www.bklynlibrary.org/locations/gravesend/history,-73.97188,40.590488
Great Kills Library,Staten Island branch of the New York Public Library system. ,,"56 Giffords Lane, STATEN ISLAND, NY, 10308",56 Giffords Lane,STATEN ISLAND,NY,10308,(718) 984-6670,http://www.nypl.org,Mon - Thu: 11:00 PM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,Early Childhood Discussions,,,,,,,staten island,https://www.nypl.org/locations/great-kills,https://www.nypl.org/about/locations/great-kills,-74.151023,40.552441
Greenpoint Library,Greenpoint branch of the Brooklyn Public Library system.,,"107 Norman Avenue, BROOKLYN, NY, 11222",107 Norman Avenue,BROOKLYN,NY,11222,(718) 349-8504,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue -Thu: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Adult Literacy, Computers, Early Childhood Discussions",,,,,,,brooklyn,www.bklynlibrary.org/locations/greenpoint,www.bklynlibrary.org/locations/greenpoint/history,-73.950757,40.725959
Hamilton Fish Park Library,Manhattan branch of the New York Public Library system.  ,,"415 East Houston Street, NEW YORK, NY, 10021",415 East Houston Street,NEW YORK,NY,10021,(212) 673-2290,http://www.nypl.org,Mon: 10:00 AM - 6:00 PM; Tue: 12:00 PM - 7:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,"Adult Literacy, Computers, Early Childhood Discussions",,,,,,,manhattan,https://www.nypl.org/locations/hamilton-fish-park,https://www.nypl.org/about/locations/hamilton-fish-park,-73.97935,40.719894
Hamilton Grange Library,Manhattan branch of the New York Public Library system.  ,,"503 West 145th Street, NEW YORK, NY, 10031",503 West 145th Street,NEW YORK,NY,10031,(212) 926-2147,http://www.nypl.org,Mon: 11:00 AM - 7:00 PM; Tue: 11:00 AM - 6:00 PM; Wed: 11:00 AM - 7:00 PM; Thu: 11:00 AM - 6:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,Early Childhood Discussions,,,,,,,manhattan,https://www.nypl.org/locations/hamilton-grange,https://www.nypl.org/about/locations/hamilton-grange,-73.947999,40.825744
Harlem Center for Reading and Writing,Manhattan branch of the New York Public Library system.,,"9 West 124th Street, NEW YORK, NY, 10027",9 West 124th Street,NEW YORK,NY,10027,(212) 369-2714,http://www.nypl.org,"Mon, Wed: 10:00 AM - 8:00 PM",,,Adult Literacy,,,,,,,manhattan,,,-73.943329,40.806171
Harlem Library,Manhattan branch of the New York Public Library system.,,"9 West 124th Street, NEW YORK, NY, 10027",9 West 124th Street,NEW YORK,NY,10027,(212) 348-5620,http://www.nypl.org,Mon: 11:00 AM - 6:00 PM; Tue: 12:00 PM - 7:00 PM; Wed: 11:00 AM - 6:00 PM; Thu: 12:00 PM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,,,,,,,,manhattan,https://www.nypl.org/locations/harlem,https://www.nypl.org/about/locations/harlem,-73.943329,40.806171
High Bridge Library,Bronx branch of the New York Public Library system.,,"78 West 168th Street, BRONX, NY, 10452",78 West 168th Street,BRONX,NY,10452,(718) 293-7800,http://www.nypl.org,Mon - Thu: 10:00 AM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,Early Childhood Discussions,,,,,,,bronx,https://www.nypl.org/locations/high-bridge,https://www.nypl.org/about/locations/high-bridge,-73.923437,40.838056
Highlawn Library,Highlawn branch of the Brooklyn Public Library system.,,"1664 West 13th Street, BROOKLYN, NY, 11223",1664 West 13th Street,BROOKLYN,NY,11223,(718) 234-7208,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 10:00 AM - 8:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 1:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Adult Literacy, Computers, Early Childhood Discussions",,,,,,,brooklyn,www.bklynlibrary.org/locations/highlawn,www.bklynlibrary.org/locations/highlawn/history,-73.986163,40.605767
Hillcrest Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"187-05 Union Turnpike, FRESH MEADOWS, NY, 11366",187-05 Union Turnpike,FRESH MEADOWS,NY,11366,(718) 454-2786,http://www.queenslibrary.org,Mon: 9:00 AM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.771429,40.731606
Hollis Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"202-05 Hillside Avenue, HOLLIS, NY, 11423",202-05 Hillside Avenue,HOLLIS,NY,11423,(718) 465-7355,http://www.queenslibrary.org,Mon: 12:00 PM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.767075,40.713095
Homecrest Library,Homecrest branch of the Brooklyn Public Library system.,,"2525 Coney Island Avenue, BROOKLYN, NY, 11223",2525 Coney Island Avenue,BROOKLYN,NY,11223,(718) 382-5924,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 10:00 AM - 8:00 PM; Wed: 1:00 PM - 6:00 PM; Thu: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions",,,,,,,brooklyn,http://www.bklynlibrary.org/locations/homecrest,http://www.bklynlibrary.org/locations/homecrest/history,-73.960748,40.595224
Howard Beach Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"92-06 156th Avenue, HOWARD BEACH, NY, 11414",92-06 156th Avenue,HOWARD BEACH,NY,11414,(718) 641-7086,http://www.queenslibrary.org,Mon: 12:00 PM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.835106,40.657764
